source,target,relationship_type
REAG - LEGAL CLAIMS GESTAO DE ATIVOS LTDA,FABIANA FRANCO,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,RWM PARTNERS S.A.,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,LUCAS PAES SASSI,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,AQUILES FELDMAN,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,FABIANA FRANCO,company_to_socio
REAG - WM GESTORA DE PATRIMONIO LTDA,REAG3 PARTNERS LTDA,company_to_socio
REAG - INVESTIMENTOS SA,FABIANA FRANCO,company_to_socio
REAG - INVESTIMENTOS SA,ROBERT JOHN VAN DIJK,company_to_socio
REAG - INVESTIMENTOS SA,DARIO GRAZIATO TANURE,company_to_socio
REAG - ECP HOLDING LTDA,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - ECP HOLDING LTDA,REAG BCS PARTICIPACOES S.A.,company_to_socio
REAG - WM GESTAO DE PATRIMONIO LTDA,RWM PARTNERS S.A.,company_to_socio
REAG - WM GESTAO DE PATRIMONIO LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - WM GESTAO DE PATRIMONIO LTDA,LUCAS PAES SASSI,company_to_socio
REAG - WM GESTAO DE PATRIMONIO LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - WM GESTAO DE PATRIMONIO LTDA,KLERMANN DE PENNAFORT CALDAS NETO,company_to_socio
REAG - 74 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 74 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - 75 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 75 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - 77 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 77 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,REAG ASSET MANAGEMENT S.A.,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,CARLOS ALBERTO HEITOR DE FARIAS MAGGIOLI FILHO,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,AQUILES FELDMAN,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,FABIANA FRANCO,company_to_socio
REAG - AGRO GESTAO DE RECURSOS LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - TRUST DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A,SILVANO GERSZTEL,company_to_socio
REAG - TRUST DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - TRUST DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - TRUST DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A,MARCOS FERREIRA COSTA,company_to_socio
REAG - TRUST DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A,THIAGO SOUZA GRAMARI,company_to_socio
REAG - 68 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 68 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - SEGUROS PARTNERS LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - SEGUROS PARTNERS LTDA,REAG BCS PARTICIPACOES S.A.,company_to_socio
REAG - SEGUROS PARTNERS LTDA,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - ASSET MANAGEMENT S.A,KLERMANN DE PENNAFORT CALDAS NETO,company_to_socio
REAG - ASSET MANAGEMENT S.A,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - ASSET MANAGEMENT S.A,ARTHUR CAIXETA NOGUEIRA,company_to_socio
REAG - ASSET MANAGEMENT S.A,DARIO GRAZIATO TANURE,company_to_socio
REAG - ASSET CAPITAL PARTNERS S.A,LEONARDO FALBO DONATO,company_to_socio
REAG - ASSET CAPITAL PARTNERS S.A,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,KLERMANN DE PENNAFORT CALDAS NETO,company_to_socio
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,DARIO GRAZIATO TANURE,company_to_socio
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,REAG WM GESTORA DE PATRIMONIO LTDA,company_to_socio
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,FABIANA FRANCO,company_to_socio
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - JUS GESTAO DE ATIVOS JUDICIAIS LDA.,GIULIANA NIGRO ARGESE,company_to_socio
REAG - SEGURADORA SA,ANTONIO AUGUSTO GUERREIRO ARAGAO DE VILLAR,company_to_socio
REAG - SEGURADORA SA,LUIZ AUGUSTO ARAGAO DE VILLAR FILHO,company_to_socio
REAG - SEGURADORA SA,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - ECP PARTNERS LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - ECP PARTNERS LTDA,REAG BCS PARTICIPACOES S.A.,company_to_socio
REAG - ECP PARTNERS LTDA,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - 70 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 70 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - CAPITAL HOLDING S.A,FABIANA FRANCO,company_to_socio
REAG - CAPITAL HOLDING S.A,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - CAPITAL HOLDING S.A,LUCAS FRANCOLINO FALBO MANSUR,company_to_socio
REAG - CAPITAL HOLDING S.A,MARCO FOLLA DE RENZIS,company_to_socio
REAG - CAPITAL HOLDING S.A,SAVERIO ORLANDI,company_to_socio
REAG - CAPITAL HOLDING S.A,PAULO ROBERTO BATISTA MACHADO,company_to_socio
REAG - CAPITAL HOLDING S.A,LUCAS DIAS TREVISAN,company_to_socio
REAG - CAPITAL HOLDING S.A,RODOLFO TURELLI,company_to_socio
REAG - CAPITAL HOLDING S.A,LEONARDO LUIZ MENESES PEREIRA,company_to_socio
